mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,class
9.668,18.1,61.06,286.3,0.08311,0.05428,0.01479,1
17.6,23.33,119,980.5,0.09289,0.2004,0.2136,0
11.62,18.18,76.38,408.8,0.1175,0.1483,0.102,1
9.667,18.49,61.49,289.1,0.08946,0.06258,0.02948,1
12.04,28.14,76.85,449.9,0.08752,0.06,0.02367,1
14.92,14.93,96.45,686.9,0.08098,0.08549,0.05539,1
12.27,29.97,77.42,465.4,0.07699,0.03398,0,1
10.88,15.62,70.41,358.9,0.1007,0.1069,0.05115,1
12.83,15.73,82.89,506.9,0.0904,0.08269,0.05835,1
14.2,20.53,92.41,618.4,0.08931,0.1108,0.05063,1
13.9,16.62,88.97,599.4,0.06828,0.05319,0.02224,1
11.49,14.59,73.99,404.9,0.1046,0.08228,0.05308,1
16.25,19.51,109.8,815.8,0.1026,0.1893,0.2236,0
12.16,18.03,78.29,455.3,0.09087,0.07838,0.02916,1
13.9,19.24,88.73,602.9,0.07991,0.05326,0.02995,1
13.47,14.06,87.32,546.3,0.1071,0.1155,0.05786,1
13.7,17.64,87.76,571.1,0.0995,0.07957,0.04548,1
15.73,11.28,102.8,747.2,0.1043,0.1299,0.1191,1
12.45,16.41,82.85,476.7,0.09514,0.1511,0.1544,1
14.64,16.85,94.21,666,0.08641,0.06698,0.05192,1
19.44,18.82,128.1,1167,0.1089,0.1448,0.2256,0
11.68,16.17,75.49,420.5,0.1128,0.09263,0.04279,1
16.69,20.2,107.1,857.6,0.07497,0.07112,0.03649,0
12.25,22.44,78.18,466.5,0.08192,0.052,0.01714,1
17.85,13.23,114.6,992.1,0.07838,0.06217,0.04445,1
18.01,20.56,118.4,1007,0.1001,0.1289,0.117,0
12.46,12.83,78.83,477.3,0.07372,0.04043,0.007173,1
13.16,20.54,84.06,538.7,0.07335,0.05275,0.018,1
14.87,20.21,96.12,680.9,0.09587,0.08345,0.06824,1
12.65,18.17,82.69,485.6,0.1076,0.1334,0.08017,1
12.47,17.31,80.45,480.1,0.08928,0.0763,0.03609,1
18.49,17.52,121.3,1068,0.1012,0.1317,0.1491,0
20.59,21.24,137.8,1320,0.1085,0.1644,0.2188,0
15.04,16.74,98.73,689.4,0.09883,0.1364,0.07721,1
13.82,24.49,92.33,595.9,0.1162,0.1681,0.1357,0
12.54,16.32,81.25,476.3,0.1158,0.1085,0.05928,1
23.09,19.83,152.1,1682,0.09342,0.1275,0.1676,0
9.268,12.87,61.49,248.7,0.1634,0.2239,0.0973,1
9.676,13.14,64.12,272.5,0.1255,0.2204,0.1188,1
12.22,20.04,79.47,453.1,0.1096,0.1152,0.08175,1
11.06,17.12,71.25,366.5,0.1194,0.1071,0.04063,1
16.3,15.7,104.7,819.8,0.09427,0.06712,0.05526,1
15.46,23.95,103.8,731.3,0.1183,0.187,0.203,0
11.74,14.69,76.31,426,0.08099,0.09661,0.06726,1
14.81,14.7,94.66,680.7,0.08472,0.05016,0.03416,1
13.4,20.52,88.64,556.7,0.1106,0.1469,0.1445,0
14.58,13.66,94.29,658.8,0.09832,0.08918,0.08222,1
15.05,19.07,97.26,701.9,0.09215,0.08597,0.07486,0
11.34,18.61,72.76,391.2,0.1049,0.08499,0.04302,1
18.31,20.58,120.8,1052,0.1068,0.1248,0.1569,0
19.89,20.26,130.5,1214,0.1037,0.131,0.1411,0
12.88,18.22,84.45,493.1,0.1218,0.1661,0.04825,1
12.75,16.7,82.51,493.8,0.1125,0.1117,0.0388,1
9.295,13.9,59.96,257.8,0.1371,0.1225,0.03332,1
24.63,21.6,165.5,1841,0.103,0.2106,0.231,0
11.26,19.83,71.3,388.1,0.08511,0.04413,0.005067,1
13.71,18.68,88.73,571,0.09916,0.107,0.05385,1
9.847,15.68,63,293.2,0.09492,0.08419,0.0233,1
8.571,13.1,54.53,221.3,0.1036,0.07632,0.02565,1
13.46,18.75,87.44,551.1,0.1075,0.1138,0.04201,1
12.34,12.27,78.94,468.5,0.09003,0.06307,0.02958,1
13.94,13.17,90.31,594.2,0.1248,0.09755,0.101,1
12.07,13.44,77.83,445.2,0.11,0.09009,0.03781,1
11.75,17.56,75.89,422.9,0.1073,0.09713,0.05282,1
11.67,20.02,75.21,416.2,0.1016,0.09453,0.042,1
13.68,16.33,87.76,575.5,0.09277,0.07255,0.01752,1
20.47,20.67,134.7,1299,0.09156,0.1313,0.1523,0
10.96,17.62,70.79,365.6,0.09687,0.09752,0.05263,1
20.55,20.86,137.8,1308,0.1046,0.1739,0.2085,0
14.27,22.55,93.77,629.8,0.1038,0.1154,0.1463,0
11.69,24.44,76.37,406.4,0.1236,0.1552,0.04515,1
7.729,25.49,47.98,178.8,0.08098,0.04878,0,1
7.691,25.44,48.34,170.4,0.08668,0.1199,0.09252,1
11.54,14.44,74.65,402.9,0.09984,0.112,0.06737,1
14.47,24.99,95.81,656.4,0.08837,0.123,0.1009,1
14.74,25.42,94.7,668.6,0.08275,0.07214,0.04105,1
13.21,28.06,84.88,538.4,0.08671,0.06877,0.02987,1
13.87,20.7,89.77,584.8,0.09578,0.1018,0.03688,1
13.62,23.23,87.19,573.2,0.09246,0.06747,0.02974,1
10.32,16.35,65.31,324.9,0.09434,0.04994,0.01012,1
10.26,16.58,65.85,320.8,0.08877,0.08066,0.04358,1
9.683,19.34,61.05,285.7,0.08491,0.0503,0.02337,1
10.82,24.21,68.89,361.6,0.08192,0.06602,0.01548,1
10.86,21.48,68.51,360.5,0.07431,0.04227,0,1
11.13,22.44,71.49,378.4,0.09566,0.08194,0.04824,1
12.77,29.43,81.35,507.9,0.08276,0.04234,0.01997,1
9.333,21.94,59.01,264,0.0924,0.05605,0.03996,1
12.88,28.92,82.5,514.3,0.08123,0.05824,0.06195,1
10.29,27.61,65.67,321.4,0.0903,0.07658,0.05999,1
10.16,19.59,64.73,311.7,0.1003,0.07504,0.005025,1
9.423,27.88,59.26,271.3,0.08123,0.04971,0,1
14.59,22.68,96.39,657.1,0.08473,0.133,0.1029,1
11.51,23.93,74.52,403.5,0.09261,0.1021,0.1112,1
14.05,27.15,91.38,600.4,0.09929,0.1126,0.04462,1
11.2,29.37,70.67,386,0.07449,0.03558,0,1
15.22,30.62,103.4,716.9,0.1048,0.2087,0.255,0
20.92,25.09,143,1347,0.1099,0.2236,0.3174,0
21.56,22.39,142,1479,0.111,0.1159,0.2439,0
20.13,28.25,131.2,1261,0.0978,0.1034,0.144,0
16.6,28.08,108.3,858.1,0.08455,0.1023,0.09251,0
20.6,29.33,140.1,1265,0.1178,0.277,0.3514,0
7.76,24.54,47.92,181,0.05263,0.04362,0,1
